Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,,,
QC,Crops,3,Albania,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,31491,,Official data,,,
QC,Crops,4,Algeria,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,181618,,Official data,,,
QC,Crops,5,American Samoa,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,155,Im,FAO data based on imputation methodology,,,
QC,Crops,8,Antigua and Barbuda,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,416,Im,FAO data based on imputation methodology,,,
QC,Crops,11,Austria,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1130,,Official data,,,
QC,Crops,52,Azerbaijan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,79724,,Official data,,,
QC,Crops,13,Bahrain,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1456,Im,FAO data based on imputation methodology,,,
QC,Crops,255,Belgium,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,10120,,Official data,,,
QC,Crops,18,Bhutan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,658,Im,FAO data based on imputation methodology,,,
QC,Crops,26,Brunei Darussalam,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,283,,Official data,,,
QC,Crops,27,Bulgaria,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,11260,,Official data,,,
QC,Crops,32,Cameroon,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2386,Im,FAO data based on imputation methodology,,,
QC,Crops,351,China,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,34137557,A,Aggregate, may include official, semi-official, estimated or calculated data
QC,Crops,44,Colombia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,3524,Im,FAO data based on imputation methodology,,,
QC,Crops,46,Congo,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2651,Im,FAO data based on imputation methodology,,,
QC,Crops,48,Costa Rica,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,96,Im,FAO data based on imputation methodology,,,
QC,Crops,107,C?te d'Ivoire,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,100146,Im,FAO data based on imputation methodology,,,
QC,Crops,98,Croatia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,,M,Data not available,,,
QC,Crops,49,Cuba,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,,M,Data not available,,,
QC,Crops,50,Cyprus,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2335,,Official data,,,
QC,Crops,116,Democratic People's Republic of Korea,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,48561,Im,FAO data based on imputation methodology,,,
QC,Crops,72,Djibouti,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,55,Im,FAO data based on imputation methodology,,,
QC,Crops,55,Dominica,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,,M,Data not available,,,
QC,Crops,56,Dominican Republic,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,26851,,Official data,,,
QC,Crops,59,Egypt,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1409202,Im,FAO data based on imputation methodology,,,
QC,Crops,66,Fiji,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2424,,Official data,,,
QC,Crops,68,France,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,31989,,Official data,,,
QC,Crops,69,French Guyana,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1100,,Official data,,,
QC,Crops,74,Gabon,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,244,Im,FAO data based on imputation methodology,,,
QC,Crops,73,Georgia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,3700,,Official data,,,
QC,Crops,81,Ghana,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,53114,Im,FAO data based on imputation methodology,,,
QC,Crops,84,Greece,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,70940,,Official data,,,
QC,Crops,87,Guadeloupe,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,144,Im,FAO data based on imputation methodology,,,
QC,Crops,88,Guam,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,33,Im,FAO data based on imputation methodology,,,
QC,Crops,91,Guyana,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,47992,,Official data,,,
QC,Crops,93,Haiti,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,856,Im,FAO data based on imputation methodology,,,
QC,Crops,95,Honduras,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,9948,Im,FAO data based on imputation methodology,,,
QC,Crops,97,Hungary,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,867,,Official data,,,
QC,Crops,100,India,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,12826000,,Official data,,,
QC,Crops,101,Indonesia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,551552,,Official data,,,
QC,Crops,102,Iran (Islamic Republic of),5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,666838,Im,FAO data based on imputation methodology,,,
QC,Crops,103,Iraq,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,113699,Im,FAO data based on imputation methodology,,,
QC,Crops,105,Israel,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,51404,,Official data,,,
QC,Crops,106,Italy,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,298313,,Official data,,,
QC,Crops,109,Jamaica,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,385,,Official data,,,
QC,Crops,110,Japan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,300400,,Official data,,,
QC,Crops,112,Jordan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,71473,Im,FAO data based on imputation methodology,,,
QC,Crops,108,Kazakhstan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,95233,,Official data,,,
QC,Crops,118,Kuwait,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,27601,,Official data,,,
QC,Crops,113,Kyrgyzstan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,563,Im,FAO data based on imputation methodology,,,
QC,Crops,121,Lebanon,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,41621,Im,FAO data based on imputation methodology,,,
QC,Crops,124,Libya,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,3529,Im,FAO data based on imputation methodology,,,
QC,Crops,126,Lithuania,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2200,Im,FAO data based on imputation methodology,,,
QC,Crops,129,Madagascar,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2035,Im,FAO data based on imputation methodology,,,
QC,Crops,130,Malawi,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,29242,,Official data,,,
QC,Crops,133,Mali,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,80528,,Official data,,,
QC,Crops,134,Malta,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,838,,Official data,,,
QC,Crops,135,Martinique,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,499,Im,FAO data based on imputation methodology,,,
QC,Crops,137,Mauritius,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2495,,Official data,,,
QC,Crops,138,Mexico,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,179656,,Official data,,,
QC,Crops,143,Morocco,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,52754,,Official data,,,
QC,Crops,150,Netherlands,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,55000,,Official data,,,
QC,Crops,153,New Caledonia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,183,,Official data,,,
QC,Crops,158,Niger,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,8512,,Official data,,,
QC,Crops,154,North Macedonia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1035,Im,FAO data based on imputation methodology,,,
QC,Crops,221,Oman,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,32214,,Official data,,,
QC,Crops,165,Pakistan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,87587,,Official data,,,
QC,Crops,299,Palestine,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,59480,Im,FAO data based on imputation methodology,,,
QC,Crops,170,Peru,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,476,,Official data,,,
QC,Crops,171,Philippines,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,244838,,Official data,,,
QC,Crops,174,Portugal,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,5209,Im,FAO data based on imputation methodology,,,
QC,Crops,177,Puerto Rico,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,887,Im,FAO data based on imputation methodology,,,
QC,Crops,179,Qatar,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2902,,Official data,,,
QC,Crops,117,Republic of Korea,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,5472,Im,FAO data based on imputation methodology,,,
QC,Crops,146,Republic of Moldova,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,5022,,Official data,,,
QC,Crops,182,Räùunion,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,1034,Im,FAO data based on imputation methodology,,,
QC,Crops,183,Romania,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,137829,,Official data,,,
QC,Crops,184,Rwanda,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,53277,Im,FAO data based on imputation methodology,,,
QC,Crops,194,Saudi Arabia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,25384,,Official data,,,
QC,Crops,195,Senegal,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,3655,Im,FAO data based on imputation methodology,,,
QC,Crops,272,Serbia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,2040,Im,FAO data based on imputation methodology,,,
QC,Crops,277,South Sudan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,,M,Data not available,,,
QC,Crops,203,Spain,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,238325,,Official data,,,
QC,Crops,38,Sri Lanka,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,129212,,Official data,,,
QC,Crops,276,Sudan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,92558,Im,FAO data based on imputation methodology,,,
QC,Crops,212,Syrian Arab Republic,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,128290,Im,FAO data based on imputation methodology,,,
QC,Crops,216,Thailand,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,19926,Im,FAO data based on imputation methodology,,,
QC,Crops,220,Trinidad and Tobago,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,488,,Official data,,,
QC,Crops,222,Tunisia,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,884,Im,FAO data based on imputation methodology,,,
QC,Crops,223,Turkey,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,836284,,Official data,,,
QC,Crops,230,Ukraine,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,68510,,Official data,,,
QC,Crops,225,United Arab Emirates,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,20859,,Official data,,,
QC,Crops,231,United States of America,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,103003,Im,FAO data based on imputation methodology,,,
QC,Crops,235,Uzbekistan,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,10935,Im,FAO data based on imputation methodology,,,
QC,Crops,236,Venezuela (Bolivarian Republic of),5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,17206,Im,FAO data based on imputation methodology,,,
QC,Crops,249,Yemen,5510,Production,399,Eggplants (aubergines),2018,2018,tonnes,4809,Im,FAO data based on imputation methodology,,,
