Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,3,Albania,5510,Production,388,Tomatoes,2018,2018,tonnes,288626,,Official data
QC,Crops,4,Algeria,5510,Production,388,Tomatoes,2018,2018,tonnes,1309745,,Official data
QC,Crops,5,American Samoa,5510,Production,388,Tomatoes,2018,2018,tonnes,82,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5510,Production,388,Tomatoes,2018,2018,tonnes,16842,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5510,Production,388,Tomatoes,2018,2018,tonnes,511,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,388,Tomatoes,2018,2018,tonnes,653485,Im,FAO data based on imputation methodology
QC,Crops,1,Armenia,5510,Production,388,Tomatoes,2018,2018,tonnes,138124,,Official data
QC,Crops,10,Australia,5510,Production,388,Tomatoes,2018,2018,tonnes,386376,,Official data
QC,Crops,11,Austria,5510,Production,388,Tomatoes,2018,2018,tonnes,58154,,Official data
QC,Crops,52,Azerbaijan,5510,Production,388,Tomatoes,2018,2018,tonnes,609179,,Official data
QC,Crops,12,Bahamas,5510,Production,388,Tomatoes,2018,2018,tonnes,5979,Im,FAO data based on imputation methodology
QC,Crops,13,Bahrain,5510,Production,388,Tomatoes,2018,2018,tonnes,4114,Im,FAO data based on imputation methodology
QC,Crops,16,Bangladesh,5510,Production,388,Tomatoes,2018,2018,tonnes,385038,,Official data
QC,Crops,14,Barbados,5510,Production,388,Tomatoes,2018,2018,tonnes,706,,Official data
QC,Crops,57,Belarus,5510,Production,388,Tomatoes,2018,2018,tonnes,284672,,Official data
QC,Crops,255,Belgium,5510,Production,388,Tomatoes,2018,2018,tonnes,258680,,Official data
QC,Crops,23,Belize,5510,Production,388,Tomatoes,2018,2018,tonnes,2121,,Official data
QC,Crops,53,Benin,5510,Production,388,Tomatoes,2018,2018,tonnes,253150,,Official data
QC,Crops,17,Bermuda,5510,Production,388,Tomatoes,2018,2018,tonnes,135,Im,FAO data based on imputation methodology
QC,Crops,18,Bhutan,5510,Production,388,Tomatoes,2018,2018,tonnes,393,Im,FAO data based on imputation methodology
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,388,Tomatoes,2018,2018,tonnes,64715,,Official data
QC,Crops,80,Bosnia and Herzegovina,5510,Production,388,Tomatoes,2018,2018,tonnes,43918,,Official data
QC,Crops,20,Botswana,5510,Production,388,Tomatoes,2018,2018,tonnes,5737,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,388,Tomatoes,2018,2018,tonnes,4110242,,Official data
QC,Crops,26,Brunei Darussalam,5510,Production,388,Tomatoes,2018,2018,tonnes,147,Im,FAO data based on imputation methodology
QC,Crops,27,Bulgaria,5510,Production,388,Tomatoes,2018,2018,tonnes,148077,,Official data
QC,Crops,233,Burkina Faso,5510,Production,388,Tomatoes,2018,2018,tonnes,14466,Im,FAO data based on imputation methodology
QC,Crops,35,Cabo Verde,5510,Production,388,Tomatoes,2018,2018,tonnes,14702,,Official data
QC,Crops,32,Cameroon,5510,Production,388,Tomatoes,2018,2018,tonnes,1068495,Im,FAO data based on imputation methodology
QC,Crops,33,Canada,5510,Production,388,Tomatoes,2018,2018,tonnes,497438,,Official data
QC,Crops,36,Cayman Islands,5510,Production,388,Tomatoes,2018,2018,tonnes,5,Im,FAO data based on imputation methodology
QC,Crops,40,Chile,5510,Production,388,Tomatoes,2018,2018,tonnes,951666,Im,FAO data based on imputation methodology
QC,Crops,351,China,5510,Production,388,Tomatoes,2018,2018,tonnes,61631581,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,44,Colombia,5510,Production,388,Tomatoes,2018,2018,tonnes,527313,Im,FAO data based on imputation methodology
QC,Crops,45,Comoros,5510,Production,388,Tomatoes,2018,2018,tonnes,644,Im,FAO data based on imputation methodology
QC,Crops,46,Congo,5510,Production,388,Tomatoes,2018,2018,tonnes,4051,Im,FAO data based on imputation methodology
QC,Crops,47,Cook Islands,5510,Production,388,Tomatoes,2018,2018,tonnes,260,Im,FAO data based on imputation methodology
QC,Crops,48,Costa Rica,5510,Production,388,Tomatoes,2018,2018,tonnes,57238,,Official data
QC,Crops,107,Cote d'Ivoire,5510,Production,388,Tomatoes,2018,2018,tonnes,40306,Im,FAO data based on imputation methodology
QC,Crops,98,Croatia,5510,Production,388,Tomatoes,2018,2018,tonnes,30950,,Official data
QC,Crops,49,Cuba,5510,Production,388,Tomatoes,2018,2018,tonnes,553906,,Official data
QC,Crops,50,Cyprus,5510,Production,388,Tomatoes,2018,2018,tonnes,15695,,Official data
QC,Crops,167,Czechia,5510,Production,388,Tomatoes,2018,2018,tonnes,10080,,Official data
QC,Crops,116,Democratic People's Republic of Korea,5510,Production,388,Tomatoes,2018,2018,tonnes,66080,Im,FAO data based on imputation methodology
QC,Crops,250,Democratic Republic of the Congo,5510,Production,388,Tomatoes,2018,2018,tonnes,49723,Im,FAO data based on imputation methodology
QC,Crops,54,Denmark,5510,Production,388,Tomatoes,2018,2018,tonnes,11759,,Official data
QC,Crops,72,Djibouti,5510,Production,388,Tomatoes,2018,2018,tonnes,1666,Im,FAO data based on imputation methodology
QC,Crops,55,Dominica,5510,Production,388,Tomatoes,2018,2018,tonnes,437,Im,FAO data based on imputation methodology
QC,Crops,56,Dominican Republic,5510,Production,388,Tomatoes,2018,2018,tonnes,242799,,Official data
QC,Crops,58,Ecuador,5510,Production,388,Tomatoes,2018,2018,tonnes,31891,,Official data
QC,Crops,59,Egypt,5510,Production,388,Tomatoes,2018,2018,tonnes,6624733,Im,FAO data based on imputation methodology
QC,Crops,60,El Salvador,5510,Production,388,Tomatoes,2018,2018,tonnes,19915,,Official data
QC,Crops,63,Estonia,5510,Production,388,Tomatoes,2018,2018,tonnes,2975,,Official data
QC,Crops,209,Eswatini,5510,Production,388,Tomatoes,2018,2018,tonnes,6002,Im,FAO data based on imputation methodology
QC,Crops,238,Ethiopia,5510,Production,388,Tomatoes,2018,2018,tonnes,43816,Im,FAO data based on imputation methodology
QC,Crops,66,Fiji,5510,Production,388,Tomatoes,2018,2018,tonnes,448,,Official data
QC,Crops,67,Finland,5510,Production,388,Tomatoes,2018,2018,tonnes,39315,,Official data
QC,Crops,68,France,5510,Production,388,Tomatoes,2018,2018,tonnes,712019,,Official data
QC,Crops,69,French Guyana,5510,Production,388,Tomatoes,2018,2018,tonnes,4100,,Official data
QC,Crops,70,French Polynesia,5510,Production,388,Tomatoes,2018,2018,tonnes,1306,Im,FAO data based on imputation methodology
QC,Crops,74,Gabon,5510,Production,388,Tomatoes,2018,2018,tonnes,385,Im,FAO data based on imputation methodology
QC,Crops,73,Georgia,5510,Production,388,Tomatoes,2018,2018,tonnes,51700,,Official data
QC,Crops,79,Germany,5510,Production,388,Tomatoes,2018,2018,tonnes,103266,,Official data
QC,Crops,81,Ghana,5510,Production,388,Tomatoes,2018,2018,tonnes,381015,Im,FAO data based on imputation methodology
QC,Crops,84,Greece,5510,Production,388,Tomatoes,2018,2018,tonnes,835940,,Official data
QC,Crops,86,Grenada,5510,Production,388,Tomatoes,2018,2018,tonnes,7111,,Official data
QC,Crops,87,Guadeloupe,5510,Production,388,Tomatoes,2018,2018,tonnes,5239,Im,FAO data based on imputation methodology
QC,Crops,88,Guam,5510,Production,388,Tomatoes,2018,2018,tonnes,289,Im,FAO data based on imputation methodology
QC,Crops,89,Guatemala,5510,Production,388,Tomatoes,2018,2018,tonnes,331338,Im,FAO data based on imputation methodology
QC,Crops,91,Guyana,5510,Production,388,Tomatoes,2018,2018,tonnes,38563,,Official data
QC,Crops,93,Haiti,5510,Production,388,Tomatoes,2018,2018,tonnes,2454,Im,FAO data based on imputation methodology
QC,Crops,95,Honduras,5510,Production,388,Tomatoes,2018,2018,tonnes,76567,Im,FAO data based on imputation methodology
QC,Crops,97,Hungary,5510,Production,388,Tomatoes,2018,2018,tonnes,204000,,Official data
QC,Crops,99,Iceland,5510,Production,388,Tomatoes,2018,2018,tonnes,1213,,Official data
QC,Crops,100,India,5510,Production,388,Tomatoes,2018,2018,tonnes,19377000,,Official data
QC,Crops,101,Indonesia,5510,Production,388,Tomatoes,2018,2018,tonnes,976790,,Official data
QC,Crops,102,Iran (Islamic Republic of),5510,Production,388,Tomatoes,2018,2018,tonnes,6577109,Im,FAO data based on imputation methodology
QC,Crops,103,Iraq,5510,Production,388,Tomatoes,2018,2018,tonnes,266294,Im,FAO data based on imputation methodology
QC,Crops,104,Ireland,5510,Production,388,Tomatoes,2018,2018,tonnes,3900,,Official data
QC,Crops,105,Israel,5510,Production,388,Tomatoes,2018,2018,tonnes,345109,,Official data
QC,Crops,106,Italy,5510,Production,388,Tomatoes,2018,2018,tonnes,5798103,,Official data
QC,Crops,109,Jamaica,5510,Production,388,Tomatoes,2018,2018,tonnes,30450,,Official data
QC,Crops,110,Japan,5510,Production,388,Tomatoes,2018,2018,tonnes,724200,,Official data
QC,Crops,112,Jordan,5510,Production,388,Tomatoes,2018,2018,tonnes,839052,Im,FAO data based on imputation methodology
QC,Crops,108,Kazakhstan,5510,Production,388,Tomatoes,2018,2018,tonnes,765453,,Official data
QC,Crops,114,Kenya,5510,Production,388,Tomatoes,2018,2018,tonnes,599458,,Official data
QC,Crops,118,Kuwait,5510,Production,388,Tomatoes,2018,2018,tonnes,97991,,Official data
QC,Crops,113,Kyrgyzstan,5510,Production,388,Tomatoes,2018,2018,tonnes,224737,,Official data
QC,Crops,119,Latvia,5510,Production,388,Tomatoes,2018,2018,tonnes,5178,,Official data
QC,Crops,121,Lebanon,5510,Production,388,Tomatoes,2018,2018,tonnes,300157,Im,FAO data based on imputation methodology
QC,Crops,123,Liberia,5510,Production,388,Tomatoes,2018,2018,tonnes,2754,Im,FAO data based on imputation methodology
QC,Crops,124,Libya,5510,Production,388,Tomatoes,2018,2018,tonnes,215584,Im,FAO data based on imputation methodology
QC,Crops,126,Lithuania,5510,Production,388,Tomatoes,2018,2018,tonnes,12317,,Official data
QC,Crops,256,Luxembourg,5510,Production,388,Tomatoes,2018,2018,tonnes,7,,Official data
QC,Crops,129,Madagascar,5510,Production,388,Tomatoes,2018,2018,tonnes,41950,Im,FAO data based on imputation methodology
QC,Crops,130,Malawi,5510,Production,388,Tomatoes,2018,2018,tonnes,583177,,Official data
QC,Crops,131,Malaysia,5510,Production,388,Tomatoes,2018,2018,tonnes,109303,Im,FAO data based on imputation methodology
QC,Crops,132,Maldives,5510,Production,388,Tomatoes,2018,2018,tonnes,168,Im,FAO data based on imputation methodology
QC,Crops,133,Mali,5510,Production,388,Tomatoes,2018,2018,tonnes,204698,,Official data
QC,Crops,134,Malta,5510,Production,388,Tomatoes,2018,2018,tonnes,11119,,Official data
QC,Crops,135,Martinique,5510,Production,388,Tomatoes,2018,2018,tonnes,5415,Im,FAO data based on imputation methodology
QC,Crops,137,Mauritius,5510,Production,388,Tomatoes,2018,2018,tonnes,9190,,Official data
QC,Crops,138,Mexico,5510,Production,388,Tomatoes,2018,2018,tonnes,4559375,,Official data
QC,Crops,273,Montenegro,5510,Production,388,Tomatoes,2018,2018,tonnes,4866,,Official data
QC,Crops,142,Montserrat,5510,Production,388,Tomatoes,2018,2018,tonnes,256,Im,FAO data based on imputation methodology
QC,Crops,143,Morocco,5510,Production,388,Tomatoes,2018,2018,tonnes,1409437,,Official data
QC,Crops,144,Mozambique,5510,Production,388,Tomatoes,2018,2018,tonnes,343170,Im,FAO data based on imputation methodology
QC,Crops,147,Namibia,5510,Production,388,Tomatoes,2018,2018,tonnes,9170,Im,FAO data based on imputation methodology
QC,Crops,150,Netherlands,5510,Production,388,Tomatoes,2018,2018,tonnes,910000,,Official data
QC,Crops,156,New Zealand,5510,Production,388,Tomatoes,2018,2018,tonnes,74356,Im,FAO data based on imputation methodology
QC,Crops,157,Nicaragua,5510,Production,388,Tomatoes,2018,2018,tonnes,80723,,Official data
QC,Crops,158,Niger,5510,Production,388,Tomatoes,2018,2018,tonnes,289806,,Official data
QC,Crops,159,Nigeria,5510,Production,388,Tomatoes,2018,2018,tonnes,3913993,Im,FAO data based on imputation methodology
QC,Crops,154,North Macedonia,5510,Production,388,Tomatoes,2018,2018,tonnes,161621,,Official data
QC,Crops,162,Norway,5510,Production,388,Tomatoes,2018,2018,tonnes,12801,,Official data
QC,Crops,221,Oman,5510,Production,388,Tomatoes,2018,2018,tonnes,199232,,Official data
QC,Crops,165,Pakistan,5510,Production,388,Tomatoes,2018,2018,tonnes,550979,,Official data
QC,Crops,299,Palestine,5510,Production,388,Tomatoes,2018,2018,tonnes,223224,Im,FAO data based on imputation methodology
QC,Crops,166,Panama,5510,Production,388,Tomatoes,2018,2018,tonnes,18183,Im,FAO data based on imputation methodology
QC,Crops,168,Papua New Guinea,5510,Production,388,Tomatoes,2018,2018,tonnes,566,Im,FAO data based on imputation methodology
QC,Crops,169,Paraguay,5510,Production,388,Tomatoes,2018,2018,tonnes,50000,,Official data
QC,Crops,170,Peru,5510,Production,388,Tomatoes,2018,2018,tonnes,252998,,Official data
QC,Crops,171,Philippines,5510,Production,388,Tomatoes,2018,2018,tonnes,220825,,Official data
QC,Crops,173,Poland,5510,Production,388,Tomatoes,2018,2018,tonnes,928826,,Official data
QC,Crops,174,Portugal,5510,Production,388,Tomatoes,2018,2018,tonnes,1330482,,Official data
QC,Crops,177,Puerto Rico,5510,Production,388,Tomatoes,2018,2018,tonnes,18476,Im,FAO data based on imputation methodology
QC,Crops,179,Qatar,5510,Production,388,Tomatoes,2018,2018,tonnes,25105,Im,FAO data based on imputation methodology
QC,Crops,117,Republic of Korea,5510,Production,388,Tomatoes,2018,2018,tonnes,344740,Im,FAO data based on imputation methodology
QC,Crops,146,Republic of Moldova,5510,Production,388,Tomatoes,2018,2018,tonnes,52120,,Official data
QC,Crops,182,Reunion,5510,Production,388,Tomatoes,2018,2018,tonnes,6444,Im,FAO data based on imputation methodology
QC,Crops,183,Romania,5510,Production,388,Tomatoes,2018,2018,tonnes,742899,,Official data
QC,Crops,185,Russian Federation,5510,Production,388,Tomatoes,2018,2018,tonnes,2899664,,Official data
QC,Crops,184,Rwanda,5510,Production,388,Tomatoes,2018,2018,tonnes,93062,Im,FAO data based on imputation methodology
QC,Crops,188,Saint Kitts and Nevis,5510,Production,388,Tomatoes,2018,2018,tonnes,174,,Official data
QC,Crops,189,Saint Lucia,5510,Production,388,Tomatoes,2018,2018,tonnes,259,Im,FAO data based on imputation methodology
QC,Crops,190,Saint Pierre and Miquelon,5510,Production,388,Tomatoes,2018,2018,tonnes,,M,Data not available
QC,Crops,194,Saudi Arabia,5510,Production,388,Tomatoes,2018,2018,tonnes,312343,,Official data
QC,Crops,195,Senegal,5510,Production,388,Tomatoes,2018,2018,tonnes,152756,Im,FAO data based on imputation methodology
QC,Crops,272,Serbia,5510,Production,388,Tomatoes,2018,2018,tonnes,131869,,Official data
QC,Crops,196,Seychelles,5510,Production,388,Tomatoes,2018,2018,tonnes,466,Im,FAO data based on imputation methodology
QC,Crops,197,Sierra Leone,5510,Production,388,Tomatoes,2018,2018,tonnes,18120,Im,FAO data based on imputation methodology
QC,Crops,200,Singapore,5510,Production,388,Tomatoes,2018,2018,tonnes,65,,Official data
QC,Crops,199,Slovakia,5510,Production,388,Tomatoes,2018,2018,tonnes,22287,,Official data
QC,Crops,198,Slovenia,5510,Production,388,Tomatoes,2018,2018,tonnes,8392,,Official data
QC,Crops,201,Somalia,5510,Production,388,Tomatoes,2018,2018,tonnes,23962,Im,FAO data based on imputation methodology
QC,Crops,202,South Africa,5510,Production,388,Tomatoes,2018,2018,tonnes,537257,,Official data
QC,Crops,277,South Sudan,5510,Production,388,Tomatoes,2018,2018,tonnes,,M,Data not available
QC,Crops,203,Spain,5510,Production,388,Tomatoes,2018,2018,tonnes,4768595,,Official data
QC,Crops,38,Sri Lanka,5510,Production,388,Tomatoes,2018,2018,tonnes,101404,,Official data
QC,Crops,276,Sudan,5510,Production,388,Tomatoes,2018,2018,tonnes,674378,Im,FAO data based on imputation methodology
QC,Crops,207,Suriname,5510,Production,388,Tomatoes,2018,2018,tonnes,1532,,Official data
QC,Crops,210,Sweden,5510,Production,388,Tomatoes,2018,2018,tonnes,18230,,Official data
QC,Crops,211,Switzerland,5510,Production,388,Tomatoes,2018,2018,tonnes,43243,Im,FAO data based on imputation methodology
QC,Crops,212,Syrian Arab Republic,5510,Production,388,Tomatoes,2018,2018,tonnes,669000,F,FAO estimate
QC,Crops,208,Tajikistan,5510,Production,388,Tomatoes,2018,2018,tonnes,443811,,Official data
QC,Crops,216,Thailand,5510,Production,388,Tomatoes,2018,2018,tonnes,109253,Im,FAO data based on imputation methodology
QC,Crops,176,Timor-Leste,5510,Production,388,Tomatoes,2018,2018,tonnes,593,Im,FAO data based on imputation methodology
QC,Crops,217,Togo,5510,Production,388,Tomatoes,2018,2018,tonnes,5561,Im,FAO data based on imputation methodology
QC,Crops,219,Tonga,5510,Production,388,Tomatoes,2018,2018,tonnes,927,Im,FAO data based on imputation methodology
QC,Crops,220,Trinidad and Tobago,5510,Production,388,Tomatoes,2018,2018,tonnes,1756,,Official data
QC,Crops,222,Tunisia,5510,Production,388,Tomatoes,2018,2018,tonnes,1357621,Im,FAO data based on imputation methodology
QC,Crops,223,Turkey,5510,Production,388,Tomatoes,2018,2018,tonnes,12150000,,Official data
QC,Crops,213,Turkmenistan,5510,Production,388,Tomatoes,2018,2018,tonnes,350394,Im,FAO data based on imputation methodology
QC,Crops,226,Uganda,5510,Production,388,Tomatoes,2018,2018,tonnes,39462,Im,FAO data based on imputation methodology
QC,Crops,230,Ukraine,5510,Production,388,Tomatoes,2018,2018,tonnes,2324070,,Official data
QC,Crops,225,United Arab Emirates,5510,Production,388,Tomatoes,2018,2018,tonnes,78607,,Official data
QC,Crops,229,United Kingdom of Great Britain and Northern Ireland,5510,Production,388,Tomatoes,2018,2018,tonnes,66893,,Official data
QC,Crops,215,United Republic of Tanzania,5510,Production,388,Tomatoes,2018,2018,tonnes,356094,Im,FAO data based on imputation methodology
QC,Crops,231,United States of America,5510,Production,388,Tomatoes,2018,2018,tonnes,12612139,,Official data
QC,Crops,234,Uruguay,5510,Production,388,Tomatoes,2018,2018,tonnes,35874,Im,FAO data based on imputation methodology
QC,Crops,235,Uzbekistan,5510,Production,388,Tomatoes,2018,2018,tonnes,2284217,,Official data
QC,Crops,236,Venezuela (Bolivarian Republic of),5510,Production,388,Tomatoes,2018,2018,tonnes,188235,Im,FAO data based on imputation methodology
QC,Crops,249,Yemen,5510,Production,388,Tomatoes,2018,2018,tonnes,114297,Im,FAO data based on imputation methodology
QC,Crops,251,Zambia,5510,Production,388,Tomatoes,2018,2018,tonnes,25873,Im,FAO data based on imputation methodology
QC,Crops,181,Zimbabwe,5510,Production,388,Tomatoes,2018,2018,tonnes,26580,Im,FAO data based on imputation methodology
